age,job,marital,education,default,housing,loan,contact,campaign,poutcome,emp.var.rate,cons.conf.idx,euribor3m,nr.employed
36,,,,,,,,7,,1.4,-41.8,4.865,5228.1
43,,,,,,,,1,,1.4,-42.7,4.96,5228.1
35,,,,,,,,3,,1.4,-42.7,4.968,5228.1
39,,,,,,,,3,,-0.1,-42.0,4.12,5195.8
35,,,,,,,,2,,-1.8,-46.2,1.266,5099.1
48,,,,,,,,4,,-1.8,-46.2,1.334,5099.1
45,,,,,,,,2,,-1.8,-47.1,1.41,5099.1
38,,,,,,,,2,,1.1,-36.4,4.858,5191.0
46,,,,,,,,2,,-0.1,-42.0,4.076,5195.8
80,,,,,,,,5,,-3.0,-33.0,0.718,5023.5
65,,,,,,,,2,,-1.8,-47.1,1.405,5099.1
26,,,,,,,,1,,-1.8,-46.2,1.259,5099.1
29,,,,,,,,1,,-1.8,-46.2,1.344,5099.1
61,,,,,,,,2,,-2.9,-31.4,0.869,5076.2
34,,,,,,,,2,,-0.1,-42.0,4.12,5195.8
34,,,,,,,,5,,1.1,-36.4,4.856,5191.0
40,,,,,,,,1,,-0.1,-42.0,4.153,5195.8
38,,,,,,,,2,,1.4,-41.8,4.865,5228.1
53,,,,,,,,2,,-1.8,-47.1,1.365,5099.1
45,,,,,,,,1,,-2.9,-33.6,1.029,5076.2
51,,,,,,,,2,,-0.1,-42.0,4.153,5195.8
32,,,,,,,,2,,-1.8,-46.2,1.334,5099.1
41,,,,,,,,1,,1.1,-36.4,4.857,5191.0
35,,,,,,,,1,,-1.8,-47.1,1.365,5099.1
56,,,,,,,,5,,1.4,-41.8,4.959,5228.1
22,,,,,,,,4,,-1.8,-46.2,1.25,5099.1
35,,,,,,,,5,,-1.8,-46.2,1.281,5099.1
25,,,,,,,,3,,1.4,-42.7,4.961,5228.1
56,,,,,,,,1,,-3.4,-30.1,0.714,5017.5
54,,,,,,,,2,,-2.9,-31.4,0.883,5076.2
39,,,,,,,,1,,1.1,-36.4,4.856,5191.0
29,,,,,,,,2,,1.4,-41.8,4.96,5228.1
30,,,,,,,,4,,1.4,-36.1,4.964,5228.1
54,,,,,,,,1,,-1.8,-46.2,1.327,5099.1
31,,,,,,,,2,,-1.1,-37.5,0.879,4963.6
35,,,,,,,,1,,-0.1,-42.0,4.153,5195.8
37,,,,,,,,1,,-1.8,-47.1,1.435,5099.1
37,,,,,,,,1,,1.4,-42.7,4.957,5228.1
41,,,,,,,,4,,1.4,-42.7,4.955,5228.1
46,,,,,,,,3,,-1.8,-47.1,1.423,5099.1
49,,,,,,,,2,,-0.1,-42.0,4.12,5195.8
30,,,,,,,,3,,1.1,-36.4,4.86,5191.0
35,,,,,,,,2,,1.1,-36.4,4.859,5191.0
28,,,,,,,,1,,1.4,-42.7,4.962,5228.1
38,,,,,,,,1,,-0.1,-42.0,4.076,5195.8
31,,,,,,,,3,,-1.8,-46.2,1.281,5099.1
35,,,,,,,,1,,1.4,-41.8,4.961,5228.1
44,,,,,,,,11,,1.4,-42.7,4.968,5228.1
32,,,,,,,,4,,1.4,-36.1,4.964,5228.1
85,,,,,,,,1,,-1.8,-34.6,0.642,5008.7
44,,,,,,,,1,,1.1,-36.4,4.858,5191.0
28,,,,,,,,2,,1.1,-36.4,4.864,5191.0
27,,,,,,,,3,,-1.8,-34.8,0.639,5008.7
45,,,,,,,,3,,-1.8,-47.1,1.405,5099.1
31,,,,,,,,1,,-2.9,-40.8,1.262,5076.2
43,,,,,,,,1,,1.4,-42.7,4.958,5228.1
46,,,,,,,,1,,-1.8,-46.2,1.244,5099.1
40,,,,,,,,26,,1.4,-41.8,4.961,5228.1
48,,,,,,,,4,,-1.8,-46.2,1.344,5099.1
44,,,,,,,,1,,1.4,-36.1,4.968,5228.1
55,,,,,,,,2,,1.4,-36.1,4.964,5228.1
33,,,,,,,,2,,-2.9,-31.4,0.861,5076.2
29,,,,,,,,2,,-0.1,-42.0,4.076,5195.8
29,,,,,,,,1,,1.4,-42.7,4.962,5228.1
33,,,,,,,,1,,-1.8,-46.2,1.334,5099.1
19,,,,,,,,1,,-1.7,-40.3,0.827,4991.6
34,,,,,,,,1,,1.4,-36.1,4.965,5228.1
52,,,,,,,,1,,1.1,-36.4,4.856,5191.0
41,,,,,,,,1,,-1.8,-46.2,1.344,5099.1
45,,,,,,,,1,,1.4,-36.1,4.967,5228.1
49,,,,,,,,1,,1.4,-36.1,4.965,5228.1
39,,,,,,,,2,,1.1,-36.4,4.857,5191.0
39,,,,,,,,1,,1.4,-36.1,4.964,5228.1
39,,,,,,,,8,,-1.8,-46.2,1.327,5099.1
51,,,,,,,,2,,1.4,-36.1,4.966,5228.1
34,,,,,,,,1,,-1.8,-46.2,1.244,5099.1
53,,,,,,,,1,,-1.8,-47.1,1.415,5099.1
23,,,,,,,,1,,1.4,-42.7,4.963,5228.1
74,,,,,,,,6,,-3.0,-33.0,0.715,5023.5
33,,,,,,,,3,,-1.8,-46.2,1.266,5099.1
30,,,,,,,,6,,1.4,-42.7,4.962,5228.1
28,,,,,,,,2,,1.4,-42.7,4.968,5228.1
28,,,,,,,,1,,-1.8,-46.2,1.327,5099.1
22,,,,,,,,1,,-2.9,-40.8,1.26,5076.2
39,,,,,,,,2,,1.4,-41.8,4.961,5228.1
54,,,,,,,,2,,-0.1,-42.0,4.191,5195.8
54,,,,,,,,3,,1.1,-36.4,4.857,5191.0
39,,,,,,,,3,,1.4,-42.7,4.96,5228.1
41,,,,,,,,4,,1.4,-41.8,4.962,5228.1
38,,,,,,,,1,,-0.1,-42.0,4.076,5195.8
49,,,,,,,,6,,1.1,-36.4,4.857,5191.0
45,,,,,,,,2,,1.1,-36.4,4.857,5191.0
28,,,,,,,,4,,-1.8,-50.0,1.629,5099.1
31,,,,,,,,2,,1.4,-41.8,4.959,5228.1
53,,,,,,,,5,,1.4,-36.1,4.966,5228.1
43,,,,,,,,1,,-0.1,-42.0,4.153,5195.8
55,,,,,,,,2,,1.4,-41.8,4.961,5228.1
44,,,,,,,,2,,1.4,-41.8,4.959,5228.1
39,,,,,,,,2,,1.1,-36.4,4.857,5191.0
41,,,,,,,,1,,-1.8,-46.2,1.313,5099.1
33,,,,,,,,1,,-1.8,-46.2,1.313,5099.1
44,,,,,,,,2,,1.4,-42.7,4.962,5228.1
39,,,,,,,,3,,-1.8,-47.1,1.405,5099.1
30,,,,,,,,1,,1.4,-36.1,4.965,5228.1
45,,,,,,,,1,,-0.1,-42.0,4.153,5195.8
40,,,,,,,,1,,-1.8,-46.2,1.344,5099.1
43,,,,,,,,4,,-1.8,-47.1,1.406,5099.1
50,,,,,,,,2,,-2.9,-31.4,0.861,5076.2
26,,,,,,,,6,,1.4,-41.8,4.961,5228.1
59,,,,,,,,2,,1.4,-42.7,4.962,5228.1
33,,,,,,,,1,,-1.8,-46.2,1.281,5099.1
28,,,,,,,,1,,-1.8,-46.2,1.266,5099.1
42,,,,,,,,3,,-1.8,-46.2,1.27,5099.1
30,,,,,,,,3,,1.4,-36.1,4.963,5228.1
34,,,,,,,,1,,-0.1,-42.0,4.153,5195.8
53,,,,,,,,2,,-2.9,-40.8,1.252,5076.2
39,,,,,,,,2,,-1.8,-46.2,1.266,5099.1
35,,,,,,,,1,,1.1,-36.4,4.857,5191.0
52,,,,,,,,1,,-0.1,-42.0,4.12,5195.8
31,,,,,,,,2,,-1.8,-46.2,1.264,5099.1
41,,,,,,,,2,,1.4,-42.7,4.96,5228.1
44,,,,,,,,2,,1.4,-36.1,4.97,5228.1
43,,,,,,,,1,,-2.9,-40.8,1.262,5076.2
50,,,,,,,,3,,1.4,-42.7,4.96,5228.1
26,,,,,,,,3,,1.4,-42.7,4.961,5228.1
57,,,,,,,,4,,-2.9,-31.4,0.883,5076.2
32,,,,,,,,1,,1.4,-36.1,4.964,5228.1
41,,,,,,,,3,,-1.8,-46.2,1.244,5099.1
45,,,,,,,,1,,1.1,-36.4,4.857,5191.0
51,,,,,,,,1,,1.1,-36.4,4.855,5191.0
23,,,,,,,,1,,-3.4,-26.9,0.754,5017.5
30,,,,,,,,3,,1.4,-42.7,4.963,5228.1
70,,,,,,,,3,,-1.7,-38.3,0.904,4991.6
38,,,,,,,,3,,1.4,-41.8,4.864,5228.1
39,,,,,,,,1,,1.4,-41.8,4.958,5228.1
38,,,,,,,,3,,1.4,-42.7,4.962,5228.1
52,,,,,,,,1,,-0.1,-42.0,4.12,5195.8
30,,,,,,,,1,,1.4,-42.7,4.962,5228.1
40,,,,,,,,1,,1.4,-36.1,4.964,5228.1
29,,,,,,,,2,,-3.4,-26.9,0.731,5017.5
57,,,,,,,,3,,1.4,-36.1,4.967,5228.1
35,,,,,,,,4,,1.1,-36.4,4.86,5191.0
31,,,,,,,,3,,1.4,-36.1,4.964,5228.1
40,,,,,,,,6,,1.4,-41.8,4.865,5228.1
32,,,,,,,,4,,-1.8,-46.2,1.281,5099.1
32,,,,,,,,1,,-0.1,-42.0,3.879,5195.8
58,,,,,,,,1,,1.4,-41.8,4.866,5228.1
35,,,,,,,,1,,1.4,-42.7,4.963,5228.1
30,,,,,,,,1,,1.1,-36.4,4.86,5191.0
45,,,,,,,,1,,1.1,-36.4,4.855,5191.0
47,,,,,,,,1,,-1.8,-47.1,1.405,5099.1
49,,,,,,,,1,,-1.8,-46.2,1.344,5099.1
35,,,,,,,,6,,1.4,-41.8,4.958,5228.1
29,,,,,,,,8,,1.4,-42.7,4.96,5228.1
33,,,,,,,,3,,1.4,-41.8,4.959,5228.1
33,,,,,,,,2,,1.1,-36.4,4.857,5191.0
31,,,,,,,,2,,-0.1,-42.0,4.021,5195.8
83,,,,,,,,2,,-1.7,-40.3,0.797,4991.6
52,,,,,,,,5,,1.4,-36.1,4.968,5228.1
33,,,,,,,,1,,-0.1,-42.0,4.076,5195.8
32,,,,,,,,12,,1.4,-41.8,4.962,5228.1
29,,,,,,,,4,,-0.1,-42.0,4.076,5195.8
32,,,,,,,,5,,1.4,-36.1,4.966,5228.1
36,,,,,,,,1,,1.1,-36.4,4.855,5191.0
32,,,,,,,,2,,-0.1,-42.0,4.12,5195.8
35,,,,,,,,1,,1.1,-36.4,4.855,5191.0
46,,,,,,,,2,,1.1,-36.4,4.856,5191.0
47,,,,,,,,1,,1.4,-42.7,4.962,5228.1
45,,,,,,,,1,,1.1,-36.4,4.856,5191.0
57,,,,,,,,3,,1.4,-42.7,4.962,5228.1
27,,,,,,,,3,,1.4,-41.8,4.865,5228.1
37,,,,,,,,1,,1.4,-42.7,4.962,5228.1
39,,,,,,,,13,,1.4,-42.7,4.962,5228.1
35,,,,,,,,7,,1.1,-36.4,4.864,5191.0
36,,,,,,,,2,,1.4,-36.1,4.963,5228.1
37,,,,,,,,1,,1.1,-36.4,4.857,5191.0
24,,,,,,,,1,,1.4,-41.8,4.866,5228.1
46,,,,,,,,2,,1.4,-41.8,4.962,5228.1
27,,,,,,,,3,,1.4,-42.7,4.957,5228.1
30,,,,,,,,3,,1.4,-36.1,4.965,5228.1
82,,,,,,,,1,,-1.8,-34.6,0.643,5008.7
28,,,,,,,,1,,-2.9,-31.4,0.879,5076.2
37,,,,,,,,3,,-2.9,-31.4,0.884,5076.2
42,,,,,,,,1,,-1.1,-37.5,0.886,4963.6
41,,,,,,,,2,,-0.1,-42.0,4.021,5195.8
44,,,,,,,,3,,-1.8,-46.2,1.281,5099.1
41,,,,,,,,1,,1.4,-41.8,4.961,5228.1
44,,,,,,,,1,,-3.4,-29.8,0.809,5017.5
26,,,,,,,,2,,-2.9,-40.8,1.268,5076.2
35,,,,,,,,1,,1.4,-42.7,4.957,5228.1
60,,,,,,,,2,,-3.4,-26.9,0.724,5017.5
33,,,,,,,,1,,1.4,-42.7,4.962,5228.1
51,,,,,,,,1,,1.4,-36.1,4.965,5228.1
31,,,,,,,,1,,-1.8,-46.2,1.327,5099.1
29,,,,,,,,1,,-2.9,-40.8,1.26,5076.2
60,,,,,,,,1,,-1.1,-37.5,0.876,4963.6
37,,,,,,,,2,,1.4,-36.1,4.964,5228.1
29,,,,,,,,4,,1.4,-42.7,4.961,5228.1
36,,,,,,,,7,,1.4,-36.1,4.965,5228.1
30,,,,,,,,6,,1.4,-42.7,4.968,5228.1
32,,,,,,,,1,,1.4,-42.7,4.957,5228.1
78,,,,,,,,2,,-1.7,-40.3,0.87,4991.6
36,,,,,,,,1,,1.4,-42.7,4.963,5228.1
36,,,,,,,,2,,1.1,-36.4,4.855,5191.0
21,,,,,,,,2,,-1.8,-47.1,1.405,5099.1
62,,,,,,,,2,,-1.8,-34.8,0.635,5008.7
34,,,,,,,,1,,-1.8,-50.0,1.726,5099.1
39,,,,,,,,4,,1.1,-36.4,4.857,5191.0
38,,,,,,,,1,,-1.8,-46.2,1.327,5099.1
29,,,,,,,,3,,1.1,-36.4,4.858,5191.0
58,,,,,,,,4,,1.1,-36.4,4.856,5191.0
36,,,,,,,,1,,-2.9,-40.8,1.266,5076.2
45,,,,,,,,2,,-1.1,-49.5,1.016,4963.6
26,,,,,,,,2,,-3.4,-26.9,0.731,5017.5
58,,,,,,,,2,,1.1,-36.4,4.856,5191.0
39,,,,,,,,7,,1.4,-42.7,4.962,5228.1
52,,,,,,,,2,,1.4,-42.7,4.962,5228.1
44,,,,,,,,2,,-2.9,-40.8,1.262,5076.2
25,,,,,,,,1,,1.4,-42.7,4.961,5228.1
34,,,,,,,,1,,1.4,-42.7,4.962,5228.1
56,,,,,,,,1,,-0.1,-42.0,4.12,5195.8
38,,,,,,,,5,,1.4,-41.8,4.959,5228.1
33,,,,,,,,1,,1.4,-41.8,4.864,5228.1
39,,,,,,,,2,,1.4,-42.7,4.96,5228.1
29,,,,,,,,3,,1.4,-42.7,4.962,5228.1
88,,,,,,,,2,,-1.8,-50.0,1.663,5099.1
27,,,,,,,,3,,-1.8,-46.2,1.244,5099.1
38,,,,,,,,2,,1.4,-36.1,4.965,5228.1
32,,,,,,,,3,,-1.8,-46.2,1.344,5099.1
35,,,,,,,,3,,-1.8,-46.2,1.327,5099.1
49,,,,,,,,3,,-2.9,-40.8,1.252,5076.2
33,,,,,,,,1,,1.4,-36.1,4.965,5228.1
50,,,,,,,,2,,1.4,-41.8,4.962,5228.1
38,,,,,,,,2,,1.1,-36.4,4.856,5191.0
33,,,,,,,,4,,1.1,-36.4,4.856,5191.0
58,,,,,,,,1,,1.4,-41.8,4.866,5228.1
48,,,,,,,,5,,1.4,-36.1,4.964,5228.1
34,,,,,,,,2,,-1.8,-46.2,1.334,5099.1
35,,,,,,,,7,,1.4,-36.1,4.965,5228.1
32,,,,,,,,4,,1.4,-42.7,4.961,5228.1
43,,,,,,,,2,,1.4,-41.8,4.959,5228.1
52,,,,,,,,2,,-3.4,-30.1,0.714,5017.5
33,,,,,,,,4,,-1.8,-46.2,1.291,5099.1
59,,,,,,,,1,,1.4,-36.1,4.963,5228.1
37,,,,,,,,1,,-0.1,-42.0,4.191,5195.8
31,,,,,,,,1,,-1.8,-46.2,1.299,5099.1
30,,,,,,,,1,,1.4,-36.1,4.964,5228.1
26,,,,,,,,2,,-1.8,-46.2,1.299,5099.1
28,,,,,,,,2,,-1.8,-34.8,0.636,5008.7
23,,,,,,,,6,,-1.8,-46.2,1.244,5099.1
37,,,,,,,,1,,-1.8,-34.8,0.637,5008.7
30,,,,,,,,2,,1.1,-36.4,4.857,5191.0
37,,,,,,,,2,,1.1,-36.4,4.856,5191.0
33,,,,,,,,1,,-1.8,-46.2,1.313,5099.1
59,,,,,,,,1,,-1.8,-40.0,0.682,5008.7
44,,,,,,,,10,,1.1,-36.4,4.856,5191.0
59,,,,,,,,1,,1.4,-36.1,4.967,5228.1
39,,,,,,,,3,,1.1,-36.4,4.864,5191.0
55,,,,,,,,1,,-0.1,-42.0,4.191,5195.8
45,,,,,,,,1,,1.4,-42.7,4.963,5228.1
38,,,,,,,,1,,-1.8,-47.1,1.365,5099.1
88,,,,,,,,2,,-2.9,-31.4,0.873,5076.2
28,,,,,,,,1,,-1.8,-46.2,1.334,5099.1
58,,,,,,,,6,,1.4,-42.7,4.962,5228.1
46,,,,,,,,1,,-1.8,-46.2,1.264,5099.1
38,,,,,,,,3,,1.1,-36.4,4.855,5191.0
55,,,,,,,,1,,-3.4,-26.9,0.728,5017.5
46,,,,,,,,9,,1.4,-42.7,4.957,5228.1
37,,,,,,,,5,,-1.7,-40.3,0.896,4991.6
35,,,,,,,,2,,1.1,-36.4,4.857,5191.0
31,,,,,,,,1,,-1.8,-46.2,1.327,5099.1
45,,,,,,,,1,,1.4,-41.8,4.959,5228.1
28,,,,,,,,4,,-2.9,-31.4,0.829,5076.2
39,,,,,,,,2,,1.4,-41.8,4.961,5228.1
56,,,,,,,,7,,1.4,-36.1,4.964,5228.1
38,,,,,,,,1,,1.4,-41.8,4.959,5228.1
40,,,,,,,,1,,1.4,-41.8,4.958,5228.1
43,,,,,,,,12,,1.4,-36.1,4.963,5228.1
58,,,,,,,,1,,1.4,-41.8,4.958,5228.1
50,,,,,,,,3,,-0.1,-42.0,4.076,5195.8
46,,,,,,,,1,,1.4,-42.7,4.963,5228.1
34,,,,,,,,2,,-1.8,-46.2,1.334,5099.1
41,,,,,,,,2,,-1.8,-46.2,1.281,5099.1
32,,,,,,,,2,,1.4,-36.1,4.963,5228.1
58,,,,,,,,1,,-2.9,-40.8,1.26,5076.2
53,,,,,,,,2,,1.4,-42.7,4.957,5228.1
36,,,,,,,,7,,-0.1,-42.0,4.021,5195.8
38,,,,,,,,1,,-1.8,-47.1,1.453,5099.1
29,,,,,,,,2,,1.4,-41.8,4.959,5228.1
30,,,,,,,,2,,-1.8,-34.8,0.655,5008.7
45,,,,,,,,1,,-2.9,-40.8,1.266,5076.2
27,,,,,,,,1,,-1.8,-46.2,1.313,5099.1
32,,,,,,,,1,,-3.4,-30.1,0.714,5017.5
34,,,,,,,,2,,1.1,-36.4,4.864,5191.0
63,,,,,,,,3,,-3.4,-29.8,0.768,5017.5
32,,,,,,,,1,,1.4,-36.1,4.964,5228.1
36,,,,,,,,2,,1.1,-36.4,4.86,5191.0
58,,,,,,,,2,,-0.1,-42.0,4.191,5195.8
46,,,,,,,,2,,1.4,-42.7,4.96,5228.1
34,,,,,,,,1,,-3.4,-26.9,0.74,5017.5
28,,,,,,,,2,,1.4,-42.7,4.968,5228.1
33,,,,,,,,2,,1.4,-36.1,4.965,5228.1
41,,,,,,,,1,,1.1,-36.4,4.86,5191.0
51,,,,,,,,2,,1.4,-36.1,4.968,5228.1
37,,,,,,,,1,,1.1,-36.4,4.857,5191.0
39,,,,,,,,1,,1.1,-36.4,4.857,5191.0
39,,,,,,,,2,,1.4,-36.1,4.968,5228.1
30,,,,,,,,1,,1.4,-36.1,4.964,5228.1
37,,,,,,,,1,,-2.9,-40.8,1.262,5076.2
56,,,,,,,,3,,1.4,-42.7,4.962,5228.1
38,,,,,,,,3,,1.1,-36.4,4.857,5191.0
49,,,,,,,,1,,-0.1,-42.0,4.021,5195.8
38,,,,,,,,2,,1.1,-36.4,4.857,5191.0
31,,,,,,,,1,,1.1,-36.4,4.855,5191.0
41,,,,,,,,4,,-0.1,-42.0,4.12,5195.8
36,,,,,,,,4,,-1.8,-46.2,1.281,5099.1
25,,,,,,,,9,,-1.8,-46.2,1.244,5099.1
32,,,,,,,,2,,-0.1,-42.0,4.076,5195.8
53,,,,,,,,2,,-1.8,-46.2,1.291,5099.1
31,,,,,,,,2,,1.4,-41.8,4.864,5228.1
34,,,,,,,,1,,-1.8,-47.1,1.405,5099.1
28,,,,,,,,4,,-1.8,-46.2,1.25,5099.1
49,,,,,,,,1,,1.1,-36.4,4.858,5191.0
32,,,,,,,,2,,1.4,-42.7,4.962,5228.1
38,,,,,,,,1,,1.4,-42.7,4.962,5228.1
46,,,,,,,,1,,-1.8,-46.2,1.334,5099.1
27,,,,,,,,2,,-1.7,-38.3,0.905,4991.6
48,,,,,,,,1,,1.1,-36.4,4.859,5191.0
44,,,,,,,,4,,1.1,-36.4,4.857,5191.0
59,,,,,,,,18,,1.4,-36.1,4.962,5228.1
30,,,,,,,,1,,1.4,-42.7,4.96,5228.1
29,,,,,,,,1,,-2.9,-31.4,0.859,5076.2
34,,,,,,,,3,,1.4,-36.1,4.968,5228.1
48,,,,,,,,2,,1.4,-36.1,4.964,5228.1
41,,,,,,,,10,,1.4,-41.8,4.866,5228.1
32,,,,,,,,1,,-0.1,-42.0,4.12,5195.8
56,,,,,,,,2,,1.4,-41.8,4.959,5228.1
88,,,,,,,,7,,-1.8,-50.0,1.663,5099.1
31,,,,,,,,2,,-1.7,-38.3,0.904,4991.6
45,,,,,,,,2,,-0.1,-42.0,4.153,5195.8
49,,,,,,,,1,,1.4,-41.8,4.959,5228.1
75,,,,,,,,1,,-1.7,-40.3,0.81,4991.6
32,,,,,,,,2,,1.4,-41.8,4.967,5228.1
36,,,,,,,,3,,-0.1,-42.0,4.153,5195.8
28,,,,,,,,1,,1.1,-36.4,4.857,5191.0
29,,,,,,,,1,,1.4,-42.7,4.962,5228.1
57,,,,,,,,1,,-0.1,-42.0,4.021,5195.8
34,,,,,,,,2,,-1.8,-46.2,1.354,5099.1
33,,,,,,,,8,,1.4,-36.1,4.962,5228.1
42,,,,,,,,1,,1.1,-36.4,4.856,5191.0
37,,,,,,,,2,,1.1,-36.4,4.859,5191.0
43,,,,,,,,1,,1.4,-36.1,4.966,5228.1
22,,,,,,,,2,,1.4,-42.7,4.961,5228.1
42,,,,,,,,1,,1.1,-36.4,4.864,5191.0
46,,,,,,,,1,,-1.8,-46.2,1.334,5099.1
68,,,,,,,,1,,-1.1,-49.5,1.0,4963.6
49,,,,,,,,2,,1.1,-36.4,4.857,5191.0
30,,,,,,,,5,,-0.1,-42.0,4.076,5195.8
25,,,,,,,,1,,1.4,-42.7,4.958,5228.1
42,,,,,,,,4,,1.4,-36.1,4.963,5228.1
26,,,,,,,,2,,1.4,-42.7,4.962,5228.1
32,,,,,,,,1,,-1.8,-46.2,1.281,5099.1
32,,,,,,,,2,,-1.8,-47.1,1.405,5099.1
36,,,,,,,,1,,1.4,-42.7,4.966,5228.1
44,,,,,,,,2,,1.1,-36.4,4.86,5191.0
54,,,,,,,,1,,1.1,-36.4,4.857,5191.0
24,,,,,,,,4,,1.4,-42.7,4.96,5228.1
36,,,,,,,,1,,1.4,-41.8,4.967,5228.1
23,,,,,,,,2,,1.4,-42.7,4.958,5228.1
39,,,,,,,,1,,-1.8,-46.2,1.344,5099.1
26,,,,,,,,2,,1.4,-42.7,4.963,5228.1
36,,,,,,,,1,,1.4,-42.7,4.96,5228.1
40,,,,,,,,3,,1.4,-42.7,4.961,5228.1
28,,,,,,,,1,,1.1,-36.4,4.856,5191.0
57,,,,,,,,1,,1.4,-36.1,4.965,5228.1
32,,,,,,,,2,,1.4,-41.8,4.961,5228.1
41,,,,,,,,1,,1.4,-42.7,4.958,5228.1
31,,,,,,,,1,,-1.8,-47.1,1.365,5099.1
46,,,,,,,,1,,-1.8,-47.1,1.405,5099.1
30,,,,,,,,4,,1.4,-36.1,4.968,5228.1
35,,,,,,,,2,,-0.1,-42.0,4.153,5195.8
32,,,,,,,,1,,1.4,-41.8,4.866,5228.1
40,,,,,,,,1,,-1.8,-46.2,1.291,5099.1
52,,,,,,,,4,,1.4,-36.1,4.963,5228.1
25,,,,,,,,3,,1.4,-42.7,4.958,5228.1
33,,,,,,,,1,,1.1,-36.4,4.859,5191.0
52,,,,,,,,2,,1.1,-36.4,4.864,5191.0
30,,,,,,,,2,,-1.1,-37.5,0.883,4963.6
68,,,,,,,,1,,-1.8,-50.0,1.602,5099.1
57,,,,,,,,6,,1.4,-36.1,4.964,5228.1
55,,,,,,,,2,,1.4,-42.7,4.962,5228.1
58,,,,,,,,1,,-3.4,-26.9,0.737,5017.5
46,,,,,,,,1,,-1.8,-47.1,1.405,5099.1
30,,,,,,,,1,,-0.1,-42.0,4.12,5195.8
37,,,,,,,,1,,1.4,-36.1,4.963,5228.1
50,,,,,,,,1,,1.1,-36.4,4.859,5191.0
31,,,,,,,,1,,1.4,-42.7,4.968,5228.1
43,,,,,,,,1,,1.4,-41.8,4.959,5228.1
40,,,,,,,,1,,-1.8,-47.1,1.445,5099.1
57,,,,,,,,3,,1.4,-36.1,4.966,5228.1
34,,,,,,,,1,,-1.8,-47.1,1.453,5099.1
40,,,,,,,,6,,1.4,-41.8,4.959,5228.1
37,,,,,,,,1,,-1.8,-46.2,1.334,5099.1
39,,,,,,,,2,,1.4,-41.8,4.865,5228.1
36,,,,,,,,1,,-0.1,-42.0,4.153,5195.8
40,,,,,,,,1,,1.1,-36.4,4.855,5191.0
31,,,,,,,,2,,1.4,-36.1,4.964,5228.1
50,,,,,,,,5,,1.4,-42.7,4.962,5228.1
